"split_id","group","participant","intersection","union","jaccard"
1,"A","participant01",0,32,0
1,"A","participant02",0,32,0
1,"A","participant03",0,32,0
1,"A","participant05",0,32,0
1,"A","participant06",0,32,0
1,"A","participant07",0,32,0
1,"A","participant10",0,32,0
1,"A","participant11",0,32,0
1,"A","participant14",0,32,0
1,"A","participant18",0,32,0
1,"A","participant20",0,32,0
1,"A","participant22",0,32,0
1,"A","participant24",0,32,0
1,"A","participant25",0,32,0
1,"A","participant27",0,32,0
1,"A","participant32",0,32,0
1,"B","participant04",0,32,0
1,"B","participant08",0,32,0
1,"B","participant09",0,32,0
1,"B","participant12",0,32,0
1,"B","participant13",0,32,0
1,"B","participant15",0,32,0
1,"B","participant16",0,32,0
1,"B","participant17",0,32,0
1,"B","participant19",0,32,0
1,"B","participant21",0,32,0
1,"B","participant23",0,32,0
1,"B","participant26",0,32,0
1,"B","participant28",0,32,0
1,"B","participant29",0,32,0
1,"B","participant30",0,32,0
1,"B","participant31",0,32,0
2,"A","participant03",0,32,0
2,"A","participant06",0,32,0
2,"A","participant07",0,32,0
2,"A","participant08",0,32,0
2,"A","participant09",0,32,0
2,"A","participant12",0,32,0
2,"A","participant13",0,32,0
2,"A","participant15",0,32,0
2,"A","participant17",0,32,0
2,"A","participant18",0,32,0
2,"A","participant20",0,32,0
2,"A","participant23",0,32,0
2,"A","participant24",0,32,0
2,"A","participant27",0,32,0
2,"A","participant30",0,32,0
2,"A","participant32",0,32,0
2,"B","participant01",0,32,0
2,"B","participant02",0,32,0
2,"B","participant04",0,32,0
2,"B","participant05",0,32,0
2,"B","participant10",0,32,0
2,"B","participant11",0,32,0
2,"B","participant14",0,32,0
2,"B","participant16",0,32,0
2,"B","participant19",0,32,0
2,"B","participant21",0,32,0
2,"B","participant22",0,32,0
2,"B","participant25",0,32,0
2,"B","participant26",0,32,0
2,"B","participant28",0,32,0
2,"B","participant29",0,32,0
2,"B","participant31",0,32,0
3,"A","participant02",0,32,0
3,"A","participant03",0,32,0
3,"A","participant07",0,32,0
3,"A","participant10",0,32,0
3,"A","participant12",0,32,0
3,"A","participant14",0,32,0
3,"A","participant18",0,32,0
3,"A","participant20",0,32,0
3,"A","participant21",0,32,0
3,"A","participant22",0,32,0
3,"A","participant23",0,32,0
3,"A","participant25",0,32,0
3,"A","participant28",0,32,0
3,"A","participant29",0,32,0
3,"A","participant30",0,32,0
3,"A","participant32",0,32,0
3,"B","participant01",0,32,0
3,"B","participant04",0,32,0
3,"B","participant05",0,32,0
3,"B","participant06",0,32,0
3,"B","participant08",0,32,0
3,"B","participant09",0,32,0
3,"B","participant11",0,32,0
3,"B","participant13",0,32,0
3,"B","participant15",0,32,0
3,"B","participant16",0,32,0
3,"B","participant17",0,32,0
3,"B","participant19",0,32,0
